PPFIBP1,PTPRF interacting protein; binding protein 1 (liprin beta 1),Ollier Disease
PPH2,primary pulmonary hypertension 2,Hypertension Pulmonary Hypertension; Primary; 2
PPHLN1,periphilin 1,Gastric Cancer
PPIA,peptidylprolyl isomerase A (cyclophilin A),In Situ Carcinoma
PPIAL4A,peptidylprolyl isomerase A (cyclophilin A)-like 4A,Liver Cancer
PPIAL4B,peptidylprolyl isomerase A (cyclophilin A)-like 4B,Liver Cancer
PPIAL4C,peptidylprolyl isomerase A (cyclophilin A)-like 4C,Liver Cancer
PPIAL4E,peptidylprolyl isomerase A (cyclophilin A)-like 4E,Tongue Squamous Cell Carcinoma
PPIAP15,peptidylprolyl isomerase A (cyclophilin A) pseudogene 15,Hiv-1
PPIB,peptidylprolyl isomerase B (cyclophilin B),Osteogenesis Imperfecta Type 9;  Ppib-Related Osteogenesis Imperfecta;  Osteogenesis Imperfecta;  
PPIC,peptidylprolyl isomerase C (cyclophilin C),Acute Promyelocytic Leukemia
PPID,peptidylprolyl isomerase D,Mitochondrial Disorders
PPIF,peptidylprolyl isomerase F,Dilated Cardiomyopathy;  Ullrich Congenital Muscular Dystrophy Bethlem Myopathy
PPIG,peptidylprolyl isomerase G (cyclophilin G),Myocardial Infarction;  Venous Insufficiency;  Chronic Venous Insufficiency Show all 4
PPIGP1,peptidylprolyl isomerase G (cyclophilin G) pseudogene 1,Nicotine Dependence
PPIL1,peptidylprolyl isomerase (cyclophilin)-like 1,Hiv-1
PPIL2,peptidylprolyl isomerase (cyclophilin)-like 2,Hiv-1
PPIL4,peptidylprolyl isomerase (cyclophilin)-like 4,Hiv-1 Breast Cancer
PPKB,palmoplantar keratoderma; Bothnia type,Palmoplantar Keratoderma; Bothnia Type Diffuse Palmoplantar Keratoderma; Bothnian Type
PPKP1B,Keratoderma; palmoplantar; punctate type IB,Keratoderma; Palmoplantar; Punctate Type Ib
PPL,periplakin,Pemphigus Vegetans;  Paraneoplastic Pemphigus;  Dendritic Cell Sarcoma Show all 4
PPM1B,protein phosphatase; Mg2+/Mn2+ dependent; 1B,2P21 Microdeletion Syndrome Cystinuria
PPM1D,protein phosphatase; Mg2+/Mn2+ dependent; 1D,Breast Cancer Ovarian Cancer
PPM1E,protein phosphatase; Mg2+/Mn2+ dependent; 1E,Mulibrey Nanism
PPM1K,protein phosphatase; Mg2+/Mn2+ dependent; 1K,Maple Syrup Urine Disease; Mild Variant;  Maple Syrup Urine Disease Maple Syrup Urine Disease Type 2
PPME1,protein phosphatase methylesterase 1,Malignant Glioma Unverricht-Lundborg Syndrome
PPOX,protoporphyrinogen oxidase,Variegate Porphyria;  Porphyria;  Erythropoietic Protoporphyria;  
PPP1CA,protein phosphatase 1; catalytic subunit; alpha isozyme,Hiv-1
PPP1CB,protein phosphatase 1; catalytic subunit; beta isozyme,Hiv-1 Cardiac Conduction Defect
PPP1R11,protein phosphatase 1; regulatory (inhibitor) subunit 11,Hemochromatosis
PPP1R12A,protein phosphatase 1; regulatory subunit 12A,Moebius Syndrome
PPP1R13L,protein phosphatase 1; regulatory subunit 13 like,Lung Cancer
PPP1R14A,protein phosphatase 1; regulatory (inhibitor) subunit 14A,Cutaneous Anthrax;  Dracunculiasis Tularemia
PPP1R14C,protein phosphatase 1; regulatory (inhibitor) subunit 14C,Breast Cancer
PPP1R15A,protein phosphatase 1; regulatory subunit 15A,Herpes Simplex
PPP1R16A,protein phosphatase 1; regulatory subunit 16A,Papillary Thyroid Carcinoma
PPP1R17,protein phosphatase 1; regulatory subunit 17,Hypercholesterolemia
PPP1R1B,protein phosphatase 1; regulatory (inhibitor) subunit 1B,Schizophrenia
PPP1R3A,protein phosphatase 1; regulatory subunit 3A,Insulin Resistance; Severe; Digenic;  Rippling Muscle Disease;  Insulin Resistance;  1
PPP1R3F,protein phosphatase 1; regulatory subunit 3F,Autism Spectrum Disorder
PPP1R9B,protein phosphatase 1; regulatory subunit 9B,Schizophrenia Limbic Encephalitis
PPP2R1A,protein phosphatase 2; regulatory subunit A; alpha,Serous Cystadenocarcinoma
PPP2R1B,protein phosphatase 2; regulatory subunit A; beta,Lung Hilum Cancer;  Lung Cancer;  Non-Small Cell Lung Carcinoma;  Show all 9
PPP2R2B,protein phosphatase 2; regulatory subunit B; beta,Spinocerebellar Ataxia Type12;  Spinocerebellar Ataxia Type 12;  Ataxia Show all 4
PPP2R3B,protein phosphatase 2; regulatory subunit B''; beta,Cavernous Malformation Cerebral Cavernous Malformation
PPP2R3C,protein phosphatase 2; regulatory subunit B''; gamma,Rhabdomyosarcoma
PPP2R4,protein phosphatase 2A activator; regulatory subunit 4,Chromosome 5Q Deletion Hypersomnia
PPP2R5B,protein phosphatase 2; regulatory subunit B'; beta,Pancreatic Gastrinoma;  Wermer Syndrome Cavernous Malformation
PPP3CC,protein phosphatase 3; catalytic subunit; gamma isozyme,Schizophrenia
PPP3R1,protein phosphatase 3; regulatory subunit B; alpha,Calcaneonavicular Coalition
PPP5C,protein phosphatase 5; catalytic subunit,Breast Cancer
PPP6R1,protein phosphatase 6; regulatory subunit 1,Denture Stomatitis
PPR1,Photoparoxysmal response 1,Photoparoxysmal Response 1
PPR2,Photoparoxysmal response 2,Photoparoxysmal Response 2
PPR3,photoparoxysmal response 3,Photoparoxysmal Response 3
PPRC1,peroxisome proliferator-activated receptor gamma; coactivator-related 1,Oxyphilic Adenoma
PPT1,palmitoyl-protein thioesterase 1,Abnormal Retinal Correspondence;  Subclavian Steal Syndrome;  Neuronal Ceroid-Lipofuscinoses;  
PPY,pancreatic polypeptide,Pancreatic Cholera;  Cholera;  Anorexia Nervosa;  Show all 5
PQBP1,polyglutamine binding protein 1,Renpenning Syndrome 1;  Renpenning Syndrome;  X-Linked Intellectual Disability; Porteous Type;  Show all 7
PRAC1,prostate cancer susceptibility candidate 1,Prostate Cancer
PRAC2,prostate cancer susceptibility candidate 2,Prostate Cancer
PRAM1,PML-RARA regulated adaptor molecule 1,Acute Promyelocytic Leukemia
PRAME,preferentially expressed antigen in melanoma,Melanoma;  Acute Myeloid Leukemia;  Chronic Myeloid Leukemia;  
PRAMEF1,PRAME family member 1,Melanoma
PRAP1,proline-rich acidic protein 1,Hypohidrotic Ectodermal Dysplasia Autism Spectrum Disorder
PRB1,proline-rich protein BstNI subfamily 1,Spinal Cord Injury
PRBNS,Pierre Robin syndrome,Isolated Pierre Robin Sequence
PRCC,papillary renal cell carcinoma (translocation-associated),Papillary Renal Cell Carcinoma;  Renal Cell Carcinoma;  Renal Cell Carcinoma; Papillary; 1; Show all 5
PRCD,progressive rod-cone degeneration,Retinitis Pigmentosa 36;  Prcd-Related Retinitis Pigmentosa;  Retinitis Pigmentosa;  1
PRCP,prolylcarboxypeptidase (angiotensinase C),Essential Hypertension;  Hypertension C1 Inhibitor Deficiency
PRD,primary retinal dysplasia,Norrie Disease
PRDM1,PR domain containing 1; with ZNF domain,Plasmacytoma;  Central Nervous System Lymphoma;  B-Cell Lymphomas Show all 4
PRDM13,PR domain containing 13,Medulloblastoma
PRDM14,PR domain containing 14,Breast Cancer
PRDM16,PR domain containing 16,Left Ventricular Noncompaction 8;  Cardiomyopathy; Dilated; 1Ll;  Cardiomyopathy; Dilated; 1Ii; Show all 7
PRDM2,PR domain containing 2; with ZNF domain,Retinoblastoma
PRDM5,PR domain containing 5,Brittle Cornea Syndrome 2 Type Vi Ehlers-Danlos Syndrome
PRDM8,PR domain containing 8,Early-Onset Lafora Body Disease
PRDX2,peroxiredoxin 2,Fuchs Endothelial Dystrophy In Situ Carcinoma
PRDX3,peroxiredoxin 3,Fuchs Endothelial Dystrophy
PRDX4,peroxiredoxin 4,Cystic Echinococcosis
PRDX5,peroxiredoxin 5,Malaria;  Corticobasal Degeneration Fuchs Endothelial Dystrophy
PRDX6,peroxiredoxin 6,Gnathomiasis Fuchs Endothelial Dystrophy
PREB,prolactin regulatory element binding,Testicular Leukemia
PRED1,putative gene; protein kinase C ETA type (EC 2.7.1.) like,Legius Syndrome
PREP,prolyl endopeptidase,Amnestic Disorder;  Triosephosphate Isomerase Deficiency;  Trypanosomiasis Show all 4
PREPL,prolyl endopeptidase-like,Hypotonia;  Cystinuria;  Hypotonia-Cystinuria Syndrome;  Show all 6
PRF1,perforin 1 (pore forming protein),Systemic Onset Juvenile Idiopathic Arthritis;  Pleuropneumonia;  Bacterial Vaginosis;  3
PRG1,p53-responsive gene 1,B-Cell Lymphomas Diffuse Large B-Cell Lymphoma
PRG2,proteoglycan 2; bone marrow (natural killer cell activator; eosinophil granule major basic protein),Papillary Conjunctivitis;  Giant Papillary Conjunctivitis;  Corneal Opacification And Other Ocular Anomalies;  4
PRG4,proteoglycan 4,Pericarditis;  Arthropathy;  Camptodactyly Arthropathy Coxa Vara Pericarditis Syndrome Show all 4
PRICKLE1,prickle homolog 1 (Drosophila),Prickle1-Related Progressive Myoclonus Epilepsy With Ataxia;  Myoclonus Epilepsy;  Progressive Myoclonus Epilepsy;  Show all 5
PRICKLE2,prickle homolog 2 (Drosophila),Progressive Myoclonic Epilepsy 5
PRIMPOL,primase and polymerase (DNA-directed),Myopia 22; Autosomal Dominant
PRINS,psoriasis associated non-protein coding RNA induced by stress,Psoriasis
PRKAA1,protein kinase; AMP-activated; alpha 1 catalytic subunit,Wolff-Parkinson-White Syndrome Obesity
PRKAA2,protein kinase; AMP-activated; alpha 2 catalytic subunit,Wolff-Parkinson-White Syndrome;  Ischemia;  Aromatase Deficiency;  Show all 6
PRKAB1,protein kinase; AMP-activated; beta 1 non-catalytic subunit,Krabbe Disease
PRKAB2,protein kinase; AMP-activated; beta 2 non-catalytic subunit,Atrioventricular Septal Defect
PRKACA,protein kinase; cAMP-dependent; catalytic; alpha,Cushing Syndrome; Acth-Independent Adrenal; Somatic;  Primary Pigmented Nodular Adrenocortical Disease Hepatocellular Fibrolamellar Carcinoma
PRKACB,protein kinase; cAMP-dependent; catalytic; beta,Primary Pigmented Nodular Adrenocortical Disease
PRKACG,protein kinase; cAMP-dependent; catalytic; gamma,Primary Pigmented Nodular Adrenocortical Disease
PRKAG2,protein kinase; AMP-activated; gamma 2 non-catalytic subunit,Cardiomyopathy; Familial Hypertrophic 6;  Wolff-Parkinson-White Syndrome;  Familial Hypertrophic Cardiomyopathy With Wolff-Parkinson-White Syndrome; Prkag2-Related;  Show all 9
PRKAG3,protein kinase; AMP-activated; gamma 3 non-catalytic subunit,Wolff-Parkinson-White Syndrome
PRKAR1A,protein kinase; cAMP-dependent; regulatory; type I; alpha,Central Nervous System Origin Vertigo;  Acrodysostosis 1; With Or Without Hormone Resistance; Carney Complex;  4
PRKAR1B,protein kinase; cAMP-dependent; regulatory; type I; beta,Familial Atrial Fibrillation
PRKCA,protein kinase C; alpha,Pituitary Tumor; Invasive
PRKCB,protein kinase C; beta,Diabetic Macular Edema
PRKCD,protein kinase C; delta,Immunodeficiency; Common Variable; 9;  Systemic Lupus Erythematosus 16;  Immunodeficiency; Common Variable; 3;  Show all 5
PRKCE,protein kinase C; epsilon,Ischemia Rift Valley Fever
PRKCG,protein kinase C; gamma,Spinocerebellar Ataxia Type14 Spinocerebellar Ataxia Type 14
PRKCH,protein kinase C; eta,Stroke; Ischemic
PRKCQ,protein kinase C; theta,Gastrointestinal Stromal Tumor
PRKCSH,protein kinase C substrate 80K-H,Polycystic Liver Disease;  Liver Disease;  Hemiplegic Migraine Show all 4
PRKCZ,protein kinase C; zeta,Parainfluenza Virus Type 3
PRKD2,protein kinase D2,Gastric Cancer
PRKDC,protein kinase; DNA-activated; catalytic polypeptide,Immunodeficiency 16 With Or Without Neurologic Abnormalities Artemis Deficiency
PRKG1,protein kinase; cGMP-dependent; type I,Aortic Aneurysm; Familial Thoracic 8;  Phosphoglycerate Kinase Deficiency;  Intraductal Papilloma;  Show all 6
PRKG2,protein kinase; cGMP-dependent; type II,Hyperphenylalaninemia
PRKRA,protein kinase; interferon-inducible double stranded RNA dependent activator,Dystonia 16;  Microtia Dystonia
PRKX,protein kinase; X-linked,Fg Syndrome
PRL,prolactin,Prolactin Producing Pituitary Tumor;  Choristoma;  Sheehan Syndrome;  Show all 67
PRLHR,prolactin releasing hormone receptor,Uterine Fibroid
PRLR,prolactin receptor,Hyperprolactinemia;  Tongue Cancer;  Multiple Fibroadenomas Of The Breast;  
PRMT6,protein arginine methyltransferase 6,Wolff-Parkinson-White Syndrome
PRNCR1,prostate cancer associated non-coding RNA 1,Prostate Cancer
PRND,prion protein 2 (dublet),Creutzfeldt-Jakob Disease;  Scrapie;  Familial Creutzfeldt-Jakob Disease;  Show all 5
PRNP,prion protein,Fatal Familial Insomnia;  Gerstmann-Straussler Disease;  Huntington Disease-Like 1;  4
PRNT,prion protein (testis specific),Dengue Disease Rift Valley Fever
PROC,protein C (inactivator of coagulation factors Va and VIIIa),Thrombophilia Due To Protein C Deficiency; Autosomal Dominant;  Thrombophilia Due To Protein C Deficiency; Autosomal Recessive;  Protein C Deficiency;  4
PROCR,protein C receptor; endothelial,Meningococcemia;  Thromboembolism;  Venous Thromboembolism;  
PRODH,proline dehydrogenase (oxidase) 1,Schizophrenia 4;  Hyperprolinemia;  Psychotic Disorder;  Show all 7
PRODH2,proline dehydrogenase (oxidase) 2,Hyperprolinemia;  Schizophrenia 4 Schizophrenia
PROK1,prokineticin 1,Osteonecrosis;  Ectopic Pregnancy Hypoxia
PROK2,prokineticin 2,Kallmann Syndrome 4;  Hypogonadotropic Hypogonadism 4 With Or Without Anosmia;  Prok2-Related Isolated Gonadotropin-Releasing Hormone Deficiency;  2
PROKR1,prokineticin receptor 1,Ectopic Pregnancy
PROKR2,prokineticin receptor 2,Kallmann Syndrome 3;  Hypogonadotropic Hypogonadism 3 With Or Without Anosmia;  Prokr2-Related Isolated Gonadotropin-Releasing Hormone Deficiency;  
PROM1,prominin 1,Stargardt Disease 4;  Cone-Rod Dystrophy 12;  Retinitis Pigmentosa 41;  1
PROP1,PROP paired-like homeobox 1,Prop1-Related Combined Pituitary Hormone Deficiency;  Anosognosia;  Combined Pituitary Hormone Deficiency;  3
PROS1,protein S (alpha),Thrombophilia Due To Protein S Deficiency; Autosomal Dominant;  Thrombophilia Due To Protein S Deficiency; Autosomal Recessive;  Protein S Deficiency;  7
PROSP,protein S pseudogene (beta),Alveoli Adenoma
PROX1,prospero homeobox 1,Breast Angiosarcoma;  Kaposiform Hemangioendothelioma;  Lymphangiosarcoma;  Show all 6
PROZ,protein Z; vitamin K-dependent plasma glycoprotein,Cerebral Sinovenous Thrombosis
PRPF18,pre-mRNA processing factor 18,Pityriasis Rubra Pilaris Palmoplantar Keratosis
PRPF19,pre-mRNA processing factor 19,Poikiloderma With Neutropenia
PRPF3,pre-mRNA processing factor 3,Retinitis Pigmentosa 18;  Prpf3-Related Retinitis Pigmentosa;  Retinitis Pigmentosa Show all 4
PRPF31,pre-mRNA processing factor 31,Retinitis Pigmentosa 11;  Prpf31-Related Retinitis Pigmentosa;  Retinitis Pigmentosa Show all 4
PRPF4,pre-mRNA processing factor 4,Retinitis Pigmentosa 70;  Ovarian Cancer Retinitis Pigmentosa
PRPF6,pre-mRNA processing factor 6,Retinitis Pigmentosa 60;  Prpf6-Related Retinitis Pigmentosa Retinitis Pigmentosa
PRPF8,pre-mRNA processing factor 8,Retinitis Pigmentosa 13;  Prpf8-Related Retinitis Pigmentosa Retinitis Pigmentosa
PRPH,peripherin,Macular Dystrophy; Patterned;  Amyotrophic Lateral Sclerosis Type 14;  Choriodal Dystrophy; Central Areolar 2;  4
PRPH2,peripherin 2 (retinal degeneration; slow),Patterned Dystrophy Of Retinal Pigment Epithelium;  Choroidal Dystrophy; Central Areolar 2; Retinitis Pigmentosa; Digenic;  0
PRPS1,phosphoribosyl pyrophosphate synthetase 1,Charcot-Marie-Tooth Disease; X-Linked Recessive; 5;  Charcot-Marie-Tooth Neuropathy X Type 5;  Dfnx1 Nonsyndromic Hearing Loss And Deafness;  8
PRPS2,phosphoribosyl pyrophosphate synthetase 2,Lesch-Nyhan Syndrome Purine Nucleoside Phosphorylase Deficiency
PRR4,proline rich 4 (lacrimal),Ectodermal Dysplasia-Syndactyly Syndrome 1
PRRC2A,proline-rich coiled-coil 2A,Coronary Artery Aneurysm;  Rheumatoid Arthritis Diabetes Mellitus
PRRG4,proline rich Gla (G-carboxyglutamic acid) 4 (transmembrane),Wagr Syndrome
PRRT2,proline-rich transmembrane protein 2,Familial Paroxysmal Kinesigenic Dyskinesia;  Episodic Kinesigenic Dyskinesia 1;  Benign Familial Infantile Epilepsy;  5
PRRX1,paired related homeobox 1,Agnathia-Otocephaly Complex;  Dysgnathia Complex;  Auriculo-Condylar Syndrome Show all 4
PRS,Prieto X-linked mental retardation syndrome,Prieto X-Linked Mental Retardation Syndrome
PRSM2,protease; metallo; 2,Hiv-1 Hepatitis C Virus
PRSS1,protease; serine; 1 (trypsin 1),Trypsinogen Deficiency;  Prss1-Related Hereditary Pancreatitis;  Pancreatitis;  3
PRSS12,protease; serine; 12 (neurotrypsin; motopsin),Mental Retardation; Autosomal Recessive 2
PRSS2,protease; serine; 2 (trypsin 2),Linitis Plastica;  Malignant Ovarian Cyst;  Ovarian Cyst;  2
PRSS21,protease; serine; 21 (testisin),Dracunculiasis;  Germ Cell Tumors Testicular Cancer
PRSS52P,protease; serine; 52; pseudogene,Alzheimers Disease
PRSS56,protease; serine; 56,Refractive Error;  Microphthalmia; Isolated 6 Primary Angle-Closure Glaucoma
PRSS8,protease; serine; 8,Ichthyosis; Follicular;  Chromophobe Renal Cell Carcinoma;  Transitional Cell Carcinoma;  Show all 7
PRTFDC1,phosphoribosyl transferase domain containing 1,Lesch-Nyhan Syndrome
PRTN3,proteinase 3,Wegeners Granulomatosis;  Subacute Bacterial Endocarditis;  Mononeuritis Multiplex;  4
PRX,periaxin,Charcot-Marie-Tooth Disease; Type 4F;  Charcot-Marie-Tooth Neuropathy Type 4F;  Charcot-Marie-Tooth Neuropathy Type 4;  0
PRY,PTPN13-like; Y-linked,Y Chromosome Infertility
PRY2,PTPN13-like; Y-linked 2,Y Chromosome Infertility
PSAP,prosaposin,Gaucher Disease; Atypical; Due To Saposin C Deficiency;  Gaucher Disease; Atypical;  Krabbe Disease; Atypical;  6
PSAT1,phosphoserine aminotransferase 1,Psat Deficiency;  Neu-Laxova Syndrome 2;  Schizotypal Personality Disorder;  
PSC,Cholangitis; primary sclerosing,Primary Sclerosing Cholangitis
PSCA,prostate stem cell antigen,Bladder Carcinoma;  Stomach Cancer;  Pancreatic Cancer;  Show all 5
PSD,pleckstrin and Sec7 domain containing,Branch Retinal Artery Occlusion Retinal Artery Occlusion
PSD3,pleckstrin and Sec7 domain containing 3,Hepatocellular Carcinoma
PSEN1,presenilin 1,Acne Inversa; Familial; 3;  Frontotemporal Dementia;  Alzheimer Disease; Type 3; With Spastic Paraparesis And Apraxia;  7
PSEN2,presenilin 2,Alzheimer Disease Type 4;  Psen2-Related Dilated Cardiomyopathy;  Cardiomyopathy; Dilated; 1V;  1
PSENEN,presenilin enhancer gamma secretase subunit,Acne Inversa; Familial; 2;  Hidradenitis;  Acne;  
PSG1,pregnancy specific beta-1-glycoprotein 1,Gestational Trophoblastic Neoplasm;  Trophoblastic Neoplasm Factor Vii Deficiency
PSG2,pregnancy specific beta-1-glycoprotein 2,Apocrine Adenoma;  Secretory Meningioma;  Pleurisy;  8
PSG9,pregnancy specific beta-1-glycoprotein 9,Trophoblastic Neoplasm Gestational Trophoblastic Neoplasm
PSHK2,Pseudohyperkalemia; familial; 2; due to red cell leak,Pseudohyperkalemia; Familial; 2; Due To Red Cell Leak
PSIP1,PC4 and SFRS1 interacting protein 1,Hiv-1 Dysembryoplastic Neuroepithelial Tumor
PSMA6,proteasome (prosome; macropain) subunit; alpha type; 6,Myocardial Infarcation
PSMA7,proteasome (prosome; macropain) subunit; alpha type; 7,Hepatitis B;  Hepatitis;  Hepatitis C Virus;  Show all 5
PSMB4,proteasome (prosome; macropain) subunit; beta type; 4,Neurotic Disorder
PSMB8,proteasome (prosome; macropain) subunit; beta type; 8,Nakajo Syndrome;  Jmp Syndrome;  Chronic Atypical Neutrophilic Dermatosis With Lipodystrophy And Elevated Temperature;  Show all 6
PSMB9,proteasome (prosome; macropain) subunit; beta type; 9,Eosinophilic Variant Of Chromophobe Renal Cell Carcinoma;  Nasopharyngeal Disease; Chromophobe Renal Cell Carcinoma;  
PSMC1,proteasome (prosome; macropain) 26S subunit; ATPase; 1,Hepatitis B;  Borna Disease;  Spinocerebellar Ataxia Type 7 Show all 4
PSMC3IP,PSMC3 interacting protein,Ovarian Dysgenesis 3;  Uterine Hypoplasia;  Gonadal Dysgenesis Show all 4
PSMC4,proteasome (prosome; macropain) 26S subunit; ATPase; 4,Episodic Ataxia Type 2;  Indolent Systemic Mastocytosis;  Timothy Syndrome;  Show all 7
PSMC5,proteasome (prosome; macropain) 26S subunit; ATPase; 5,Mulibrey Nanism Indolent Systemic Mastocytosis
PSMD10,proteasome (prosome; macropain) 26S subunit; non-ATPase; 10,Hepatocellular Carcinoma
PSMD13,proteasome (prosome; macropain) 26S subunit; non-ATPase; 13,Spondylolisthesis
PSMD14,proteasome (prosome; macropain) 26S subunit; non-ATPase; 14,Hereditary Renal Cell Carcinoma
PSMD6,proteasome (prosome; macropain) 26S subunit; non-ATPase; 6,Breast Cancer
PSMD7,proteasome (prosome; macropain) 26S subunit; non-ATPase; 7,Hereditary Renal Cell Carcinoma
PSMD9,proteasome (prosome; macropain) 26S subunit; non-ATPase; 9,Hypertensive Retinopathy
PSMG1,proteasome (prosome; macropain) assembly chaperone 1,Down Syndrome Papillary Thyroid Carcinoma
PSMG2,proteasome (prosome; macropain) assembly chaperone 2,Hepatocellular Carcinoma Liver Cancer
PSMG3,proteasome (prosome; macropain) assembly chaperone 3,Autoimmune Thrombocytopenic Purpura
PSMNSW,Parasomnia; sleepwalking type,Parasomnia; Sleepwalking Type
PSNP2,supranuclear palsy; progressive; 2,Supranuclear Palsy; Progressive; 2
PSNP3,Supranuclear palsy; progressive; 3,Supranuclear Palsy; Progressive; 3
PSORS10,psoriasis susceptibility 10,Psoriasis Susceptibility 10 Psoriasis
PSORS11,Psoriasis susceptibility 11,Psoriasis Susceptibility 11 Psoriasis
PSORS1C1,psoriasis susceptibility 1 candidate 1,Psoriasis;  Psoriasis Susceptibility 1;  Toxic Epidermal Necrolysis Show all 4
PSORS1C2,psoriasis susceptibility 1 candidate 2,Psoriasis Psoriasis Susceptibility 1
PSORS1C3,psoriasis susceptibility 1 candidate 3 (non-protein coding),Psoriasis Psoriasis Susceptibility 1
PSORS2,psoriasis susceptibility 2,Psoriasis Susceptibility 2;  Pityriasis Rubra Pilaris;  Psoriatic Arthritis Show all 4
PSORS3,psoriasis susceptibility 3,Psoriasis Susceptibility 3 Psoriasis
PSORS4,psoriasis susceptibility 4,Psoriasis Susceptibility 4;  Psoriatic Arthritis Psoriasis
PSORS5,psoriasis susceptibility 5,Psoriasis Susceptibility 5;  Psoriatic Arthritis Psoriasis
PSORS6,psoriasis susceptibility 6,Psoriasis Susceptibility 6
PSORS7,psoriasis susceptibility 7,Psoriasis Susceptibility 7 Psoriasis
PSORS8,psoriasis susceptibility 8,Psoriasis Susceptibility 8 Psoriasis
PSORS9,psoriasis susceptibility 9,Psoraisis Susceptibility 9
PSPC1,paraspeckle component 1,Western Equine Encephalitis
PSPH,phosphoserine phosphatase,Psph Deficiency;  Lead Poisoning;  Williams Syndrome Show all 4
PSPN,persephin,Hirschsprungs Disease Parkinsons Disease
PSS,Potocki-Shaffer syndrome,Potocki-Shaffer Syndrome
PSTPIP1,proline-serine-threonine phosphatase interacting protein 1,Pyogenic Sterile Arthritis; Pyoderma Gangrenosum; And Acne;  Pyoderma Gangrenosum; Pyoderma;  Show all 7
PSTPIP2,proline-serine-threonine phosphatase interacting protein 2,Mast-Cell Leukemia Sapho Syndrome
PTAFR,platelet-activating factor receptor,Melanoma Metastasis Lymphoid Leukemia
PTBP1,polypyrimidine tract binding protein 1,Human T-Cell Leukemia Virus Type 2
PTBP2,polypyrimidine tract binding protein 2,Cancer-Associated Retinopathy
PTCH1,patched 1,Holoprosencephaly-7;  Basaloid Follicular Hamartoma;  Testicular Thecoma;  Show all 43
PTCH2,patched 2,Nevoid Basal Cell Carcinoma Syndrome;  Basal Cell Carcinoma;  Medulloblastoma;  Show all 7
PTCHD1,patched domain containing 1,Learning Disability Mental Retardation; X-Linked 29 And Others
PTCPRN,Papillary thyroid carcinoma with papillary renal neoplasia,Thyroid Carcinoma; Papillary; With Papillary Renal Neoplasia Papillary Thyroid Carcinoma
PTCSC1,papillary thyroid carcinoma susceptibility candidate 1 (non-protein coding),Papillary Thyroid Carcinoma
PTCSC3,papillary thyroid carcinoma susceptibility candidate 3 (non-protein coding),Papillary Thyroid Carcinoma
PTDSS1,phosphatidylserine synthase 1,Lenz Majewski Hyperostotic Dwarfism
PTEN,phosphatase and tensin homolog,Macrocephaly/autism Syndrome;  Proteus-Like Syndrome;  Vacterl Association With Hydrocephalus;  Show all 61
PTENP1,phosphatase and tensin homolog pseudogene 1 (functional),Cowden Disease
PTER,phosphotriesterase related,Cri-Du-Chat Syndrome Patau Syndrome
PTF1A,pancreas specific transcription factor; 1a,Cerebellar Agenesis;  Pancreatic And Cerebellar Agenesis;  Diabetes Mellitus; Permanent Neonatal; With Cerebellar Agenesis;  Show all 5
PTGDR,prostaglandin D2 receptor (DP),Asthma 1 Asthma
PTGDR2,prostaglandin D2 receptor 2,Asthma;  Eosinophilic Pustular Folliculitis Folliculitis
PTGDS,prostaglandin D2 synthase 21kDa (brain),Cerebrospinal Fluid Leak;  Normal Pressure Hydrocephalus;  Egg Allergy;  1
PTGER2,prostaglandin E receptor 2 (subtype EP2); 53kDa,Gastric Ulcer;  Asthma;  Endometrial Adenocarcinoma;  Show all 5
PTGER3,prostaglandin E receptor 3 (subtype EP3),Corneal Disease Conjunctivochalasis
PTGER4,prostaglandin E receptor 4 (subtype EP4),Benign Mesothelioma;  Osteoporosis Lymphocytic Colitis
PTGES2,prostaglandin E synthase 2,Patent Ductus Arteriosus
PTGFR,prostaglandin F receptor (FP),Ocular Hypertension;  Endometrial Adenocarcinoma Menieres Disease
PTGIS,prostaglandin I2 (prostacyclin) synthase,Hypertension; Essential 4;  Hypertension; Essential 1;  Hypertension; Essential 2;  2
PTGS1,prostaglandin-endoperoxide synthase 1 (prostaglandin G/H synthase and cyclooxygenase),Chronic Cystitis;  Ureteral Obstruction;  Cystitis;  
PTGS2,prostaglandin-endoperoxide synthase 2 (prostaglandin G/H synthase and cyclooxygenase),Bile Duct Cysts;  Protoplasmic Astrocytoma;  Acute Generalized Exanthematous Pustulosis; 5
PTH,parathyroid hormone,Pseudoarthrosis;  Clear Cell Adenoma;  Uremic Neuropathy;  9
PTH1R,parathyroid hormone 1 receptor,Chondrodysplasia Blomstrand Type;  Eiken Syndrome;  Heart Cancer;  7
PTH2R,parathyroid hormone 2 receptor,Jansens Metaphyseal Chondrodysplasia
PTHLH,parathyroid hormone-like hormone,Brachydactyly; Type E2;  Invasive Malignant Thymoma;  Sclerosing Hepatic Carcinoma;  Show all 50
PTK2,protein tyrosine kinase 2,Scar Contracture;  Gastroesophageal Junction Adenocarcinoma;  Breast Cancer Show all 4
PTK2B,protein tyrosine kinase 2 beta,Gangliosidosis
PTK6,protein tyrosine kinase 6,Recurrent Corneal Erosion
PTK7,protein tyrosine kinase 7,Panic Disorder;  Agoraphobia Social Phobia
PTLAH,patella aplasia-hypoplasia,Absent Patella
PTLS,Potocki-Lupski syndrome,Potocki-Lupski Syndrome
PTMA,prothymosin; alpha,Hepatitis B
PTMAP6,prothymosin; alpha pseudogene 6,Major Depressive Disorder
